type  latitude longitude name
W     -27.904777778      26.711166667            Phakisa Road Course
W     -38.502388889      145.232194444           Phillip Island Circuit
W     33.375916667       -112.311361111          Phoenix Intl. Raceway
W     38.901250000       -105.003472222          Pikes Peak Intl. Hill Climb
W     38.590944444       -104.678305556          Pikes Peak Intl. Raceway
W     39.891027778       18.133583333            Pista Salentina-Ugento
W     40.850722222       -80.347750000           Pitt Race - North Course
W     40.844972222       -80.347333333           Pitt Race - South Course
W     40.849777778       -80.344555556           Pitt Race - Winslow Kart Track
W     45.699694444       -73.866833333           PMG Test Track
W     41.057361111       -75.504916667           Pocono - East Course
W     41.052638889       -75.511722222           Pocono - Full Track
W     41.054388889       -75.514750000           Pocono - North Course
W     41.052472222       -75.506500000           Pocono - South Course
W     17.971666667       -66.676916667           Ponce Intl. Speedway
W     51.405527778       12.297500000            Porsche Leipzig
W     37.229777778       -8.629944444            Portimao Circuit
W     37.233194444       -8.636361111            Portimao Kart Track
W     45.595027778       -122.694472222          Portland Intl. Raceway
W     22.091277778       -100.725638889          Potosino
W     -33.223916667      -66.238361111           Potrero de los Funes Circuit
W     -43.530583333      172.480944444           Powerbuilt Raceway
W     52.420305556       16.806500000            Poznan
W     51.963305556       -2.023444444            Prescott
W     -33.049527778      27.870000000            Prince George Circuit
W     38.299888889       -104.677416667          Pueblo Motorsports Park
W     -37.215555556      174.915833333           Pukekohe Park Raceway
W     39.582305556       -86.742305556           Putnam Park Road Course
W     -27.690638889      152.654611111           Queensland Raceway
W     20.585583333       -100.328916667          Queretaro
W     48.553472222       0.274472222             Quest Karting - Essay
W     50.943944444       -113.933611111          Race City Motorsport Park
W     51.530055556       -2.140305556            RAF Hullavington
W     52.647138889       0.558416667             RAF Marham
W     47.220000000       14.765111111            Red Bull Ring
W     -26.075083333      28.755166667            Red Star Raceway
W     24.382722222       45.979222222            Reem Intl. Circuit
W     24.383222222       45.976500000            Reem Kart Track
W     41.957638889       3.176166667             Regencos Kart Track
W     39.539388889       -119.241833333          Reno-Fernley Raceway
W     44.680666667       10.020916667            Riccardo Paletti
W     37.591083333       -77.419666667           Richmond Intl. Raceway
W     56.337194444       10.682388889            Ring Djursland
W     46.631805556       -71.788305556           Riverside Speedway Ste-Croix
W     43.797888889       -87.989638889           Road America
W     34.150361111       -83.814194444           Road Atlanta
W     52.514722222       -0.662333333            Rockingham Motor Speedway
W     34.975833333       -79.610888889           Rockingham Raceway Park
W     32.167055556       -81.322861111           Roebling Road Raceway
W     -30.547694444      136.886083333           Roxby Downs
W     59.368111111       11.260722222            Rudskogen Kart Track
W     59.365722222       11.263194444            Rudskogen Road Course
W     18.436750000       -66.210111111           Sabana Seca
W     50.791777778       12.688083333            Sachsenring
W     45.573472222       -73.965916667           Saint-Eustache
W     -2.235722222       -80.879222222           Salinas
W     17.970416667       -66.265666667           Salinas Intl. Speedway
W     47.823055556       13.169055556            Salzburgring
W     22.182472222       -100.990722222          San Luis 400
W     -45.902750000      -67.543777778           San Martin
W     -45.903666667      -67.543361111           San Martin Kart Track
W     45.528166667       -72.881916667           Sanair Kart Track
W     45.532611111       -72.878555556           Sanair Oval Track
W     45.529638889       -72.882666667           Sanair Road Course
W     45.531138889       -72.875444444           Sanair Speedway Road Course
W     45.530972222       -72.876222222           Sanair Super Speedway
W     45.525583333       -72.887416667           Sanair Winter Course
W     47.243388889       -123.150805556          Sanderson Field
W     35.020611111       -106.858861111          Sandia Motor Speedway
W     -37.949361111      145.164333333           Sandown Motor Racing Circuit
W     -29.800888889      -52.434166667           Santa Cruz do Sul
W     40.837638889       14.567638889            Sarno
W     57.261500000       13.599361111            Scandinavian Raceway
W     50.560916667       11.821277778            Schleizer Dreieck
W     27.450222222       -81.353750000           Sebring Intl. Raceway
W     40.604305556       14.949138889            Sele
W     38.288361111       140.623527778           Sendai Hi-Land - North Kart Track
W     38.286472222       140.621972222           Sendai Hi-Land Raceway
W     -6.536416667       106.856361111           Sentul Intl. Circuit
W     2.760750000        101.738333333           Sepang Intl. Circuit
W     2.763638889        101.729166667           Sepang Kart Track
W     2.760750000        101.738333333           Sepang North Track
W     2.759638889        101.737416667           Sepang South Track
W     -18.388250000      -70.334055556           Sergio Santander Benavente
W     41.073722222       23.519388889            Serres Kart Track
W     41.073138889       23.517805556            Serres Racing Circuit
W     31.337277778       121.220583333           Shanghai Intl. Circuit
W     44.228944444       -77.164916667           Shannonville - Fabi Circuit
W     44.225027778       -77.159388889           Shannonville - Long Track
W     44.225027778       -77.159388889           Shannonville - Nelson Circuit
W     44.225027778       -77.159388889           Shannonville - Pro Track
W     52.078694444       -1.016972222            Silverstone Circuit
W     37.067861111       15.252722222            Siracusa
W     51.879083333       20.928055556            Slomczyn
W     54.987583333       33.365861111            Smolensk Ring
W     52.463388889       0.944722222             Snetterton Circuit
W     47.360916667       2.049222222             Sologne Karting - Salbris
W     38.161472222       -122.454722222          Sonoma Raceway
W     51.433944444       -3.496416667            South Wales Karting Centre
W     42.418222222       -122.793944444          Southern Oregon Speedway
W     50.444083333       5.968333333             Spa-Francorchamps
W     47.658083333       -117.591527778          Spokane Kart Track
W     47.659861111       -117.571750000          Spokane Raceway - Oval Track
W     47.660583333       -117.574750000          Spokane Raceway - Road Course
W     38.142277778       140.777694444           Sportsland SUGO
W     38.141277778       140.772000000           Sportsland SUGO - Kart Track
W     51.998527778       13.689944444            Spreewaldring Kart Track
W     51.999555556       13.687722222            Spreewaldring Motodrom
W     36.172250000       -115.910111111          Spring Mountain
W     36.169083333       -115.909833333          Spring Mountain - Large
W     53.736416667       -113.233916667          Stratotech Park
W     34.874805556       -118.258722222          Streets of Willow
W     55.531500000       13.357388889            Sturup Raceway
W     14.798611111       120.267333333           Subic Intl. Raceway
W     39.235194444       -77.969055556           Summit Point Raceway
W     -27.986166667      153.427250000           Surfers Paradise Street Circuit
W     34.842916667       136.540694444           Suzuka Circuit
W     34.843194444       136.528388889           Suzuka Kart Track
W     -33.803777778      150.870944444           Sydney Motorsports Park
W     -41.657583333      147.249972222           Symmons Plains Raceway
W     37.082694444       129.018388889           Taebaek Racing Park
